ID,StartDate,discrimination,internalized-homophobia,tests-six-months,never-heard-of-prep,self-esteem,,,,,,,,,,,,,,,,
272,18-Apr-2018 02:10:23,4.22,3.33,0,1,23,,,,,,,,,,,,,,,,
273,18-Apr-2018 05:48:00,3.44,3.33,0,0,32,,,,,,,,,,,,,,,,
274,18-Apr-2018 03:48:21,3.44,3.33,0,0,27,,,,,,,,,,,,,,,,
275,20-Apr-2018 16:51:54,2.78,3.33,0,0,26,,,,,,,,,,,,,,,,
276,18-Apr-2018 03:32:38,3.44,3.33,0,0,24,,,,,,,,,,,,,,,,
277,20-Apr-2018 17:01:49,2.44,3.33,0,0,26,,,,,,,,,,,,,,,,
278,18-Apr-2018 03:17:49,3.44,3.33,0,0,26,,,,,,,,,,,,,,,,
279,18-Apr-2018 05:09:31,3.44,3.33,0,0,31,,,,,,,,,,,,,,,,
281,20-Apr-2018 16:44:04,3,3.33,0,0,26,,,,,,,,,,,,,,,,
282,18-Apr-2018 05:37:02,3.44,3.33,0,0,30,,,,,,,,,,,,,,,,
283,18-Apr-2018 03:03:30,3.44,3.33,0,0,25,,,,,,,,,,,,,,,,
284,18-Apr-2018 04:02:32,3.44,3.33,0,0,29,,,,,,,,,,,,,,,,
285,18-Apr-2018 05:29:39,3.44,3.33,0,0,25,,,,,,,,,,,,,,,,
286,18-Apr-2018 06:08:00,3.44,3.33,0,0,25,,,,,,,,,,,,,,,,
